trip_id,pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_area,dropoff_area,distance_km,duration_minutes,vehicle_type,fare_amount,surge_multiplier,weather_condition,hour,day_of_week,is_weekend
1,2024-01-01 00:00:00,2024-01-01 00:15:00,-6.2250919762305275,106.79840888006936,-6.22527183630666,106.82491756093226,South Jakarta,West Jakarta,8.46,28.7,premium_car,39951.0,1.71,sunny,12,Monday,False
2,2024-01-01 00:03:00,2024-01-01 00:18:00,-6.1098571387180165,106.81835891484376,-6.233417580753719,106.88668669312815,South Jakarta,South Jakarta,3.67,44.8,premium_car,40325.0,1.46,rainy,12,Tuesday,False
3,2024-01-01 00:06:00,2024-01-01 00:21:00,-6.153601211637719,106.91363684830054,-6.264769217499428,106.84066669516409,Central Jakarta,Central Jakarta,2.1,15.0,premium_car,34813.0,1.46,sunny,1,Monday,True
4,2024-01-01 00:09:00,2024-01-01 00:24:00,-6.1802683031605925,106.78500109651497,-6.178546665979702,106.72082564577795,Central Jakarta,Central Jakarta,3.62,40.2,car,10623.0,1.26,sunny,8,Monday,False
5,2024-01-01 00:12:00,2024-01-01 00:27:00,-6.268796271911513,106.91741242120304,-6.204675167898274,106.74639505919589,West Jakarta,Central Jakarta,14.43,27.4,motorcycle,67118.0,2.22,rainy,10,Monday,False
6,2024-01-01 00:15:00,2024-01-01 00:30:00,-6.268801095932759,106.72203360774418,-6.126859801535199,106.75483204600773,West Jakarta,West Jakarta,11.93,10.8,motorcycle,17809.0,2.36,cloudy,2,Monday,True
7,2024-01-01 00:18:00,2024-01-01 00:33:00,-6.28838327756636,106.89419960930216,-6.293578083903588,106.76446606341122,South Jakarta,West Jakarta,14.57,44.0,car,79684.0,1.12,rainy,16,Monday,True
8,2024-01-01 00:21:00,2024-01-01 00:36:00,-6.126764770845012,106.91188690826368,-6.171226414488975,106.84135084798763,Central Jakarta,Central Jakarta,2.46,43.8,premium_car,64107.0,1.23,cloudy,11,Tuesday,True
9,2024-01-01 00:24:00,2024-01-01 00:39:00,-6.179776997651358,106.74545441320934,-6.147410224297688,106.82599144495636,West Jakarta,Central Jakarta,10.84,23.4,motorcycle,50601.0,1.34,rainy,4,Tuesday,False
10,2024-01-01 00:27:00,2024-01-01 00:42:00,-6.158385484440791,106.80758663309305,-6.148102686162338,106.75079000959106,West Jakarta,West Jakarta,2.58,43.4,car,20822.0,1.76,rainy,13,Tuesday,True
11,2024-01-01 00:30:00,2024-01-01 00:45:00,-6.29588310114084,106.74137494366592,-6.122785206580895,106.71688871086393,Central Jakarta,Central Jakarta,12.17,14.9,motorcycle,46078.0,2.19,rainy,18,Wednesday,False
12,2024-01-01 00:33:00,2024-01-01 00:48:00,-6.1060180295676005,106.87665103224856,-6.1541932514341005,106.74285805111869,South Jakarta,Central Jakarta,6.95,33.8,car,28278.0,1.11,sunny,21,Tuesday,False
13,2024-01-01 00:36:00,2024-01-01 00:51:00,-6.133511471839915,106.83383694201542,-6.114437987670461,106.94609532815466,West Jakarta,West Jakarta,3.24,16.7,premium_car,27663.0,1.96,rainy,16,Monday,True
14,2024-01-01 00:39:00,2024-01-01 00:54:00,-6.257532177864345,106.85883083667709,-6.233468680035822,106.81713673744787,West Jakarta,Central Jakarta,9.38,18.6,motorcycle,68067.0,1.22,sunny,3,Wednesday,False
15,2024-01-01 00:42:00,2024-01-01 00:57:00,-6.263635006558579,106.74912174173906,-6.199358116649691,106.91683637617552,Central Jakarta,Central Jakarta,5.64,37.3,car,36645.0,2.46,sunny,0,Wednesday,False
16,2024-01-01 00:45:00,2024-01-01 01:00:00,-6.263319098029313,106.7529364655131,-6.297184067343422,106.91218811666721,Central Jakarta,Central Jakarta,10.57,23.2,car,41551.0,2.35,sunny,16,Tuesday,False
17,2024-01-01 00:48:00,2024-01-01 01:03:00,-6.239151551408092,106.71037433137748,-6.298608482539342,106.82787988936572,South Jakarta,West Jakarta,10.56,10.2,motorcycle,69008.0,2.42,rainy,9,Wednesday,False
18,2024-01-01 00:51:00,2024-01-01 01:06:00,-6.195048713673552,106.78051688379894,-6.251974675909696,106.87667192711514,South Jakarta,West Jakarta,11.17,24.5,car,16145.0,1.16,rainy,7,Tuesday,False
19,2024-01-01 00:54:00,2024-01-01 01:09:00,-6.213610996271576,106.83993616533343,-6.279838560572183,106.74818800260319,West Jakarta,West Jakarta,14.9,18.0,motorcycle,51623.0,1.73,rainy,10,Tuesday,True
20,2024-01-01 00:57:00,2024-01-01 01:12:00,-6.241754171960391,106.91448372849933,-6.247957726412849,106.87209917623173,South Jakarta,South Jakarta,7.03,33.9,car,50475.0,1.25,rainy,19,Monday,False
21,2024-01-01 01:00:00,2024-01-01 01:15:00,-6.177629421055524,106.86673186186468,-6.26459134109432,106.76809614481583,West Jakarta,South Jakarta,8.05,16.8,motorcycle,39765.0,1.9,sunny,9,Wednesday,False
22,2024-01-01 01:03:00,2024-01-01 01:18:00,-6.272101227869592,106.80884908084994,-6.29429599503227,106.90801552418854,West Jakarta,South Jakarta,12.46,39.5,premium_car,68084.0,1.35,cloudy,18,Wednesday,False
23,2024-01-01 01:06:00,2024-01-01 01:21:00,-6.241571070292956,106.93828002859854,-6.1181391707187895,106.72093103327722,Central Jakarta,South Jakarta,9.52,19.3,motorcycle,76002.0,2.16,cloudy,5,Wednesday,True
24,2024-01-01 01:09:00,2024-01-01 01:24:00,-6.226727631341261,106.87981130014396,-6.298355373722221,106.89328466822133,West Jakarta,West Jakarta,2.48,23.8,car,42574.0,1.97,sunny,10,Tuesday,False
25,2024-01-01 01:12:00,2024-01-01 01:27:00,-6.208786003156592,106.93254130071564,-6.1527835711325825,106.72498422664216,Central Jakarta,Central Jakarta,12.96,20.4,premium_car,41930.0,1.86,sunny,15,Wednesday,True
26,2024-01-01 01:15:00,2024-01-01 01:30:00,-6.1429648077213965,106.83189699331804,-6.269570422616097,106.92029730922359,West Jakarta,West Jakarta,2.67,32.5,premium_car,45144.0,2.24,cloudy,9,Monday,True
27,2024-01-01 01:18:00,2024-01-01 01:33:00,-6.260065243568328,106.7647260686983,-6.117554075600079,106.77605112953376,West Jakarta,South Jakarta,4.22,13.5,motorcycle,60619.0,1.75,cloudy,21,Wednesday,False
28,2024-01-01 01:21:00,2024-01-01 01:36:00,-6.197153112317277,106.71320667159118,-6.121440812082023,106.86359834120765,West Jakarta,West Jakarta,3.33,26.7,motorcycle,56764.0,1.4,cloudy,0,Wednesday,True
29,2024-01-01 01:24:00,2024-01-01 01:39:00,-6.181517086227592,106.88152121287096,-6.169219770726148,106.82187556965508,South Jakarta,Central Jakarta,3.01,21.7,motorcycle,25598.0,1.93,cloudy,7,Monday,True
30,2024-01-01 01:27:00,2024-01-01 01:42:00,-6.290709917456001,106.73032574950139,-6.165553170039878,106.79157578631559,South Jakarta,South Jakarta,2.33,40.9,premium_car,14473.0,2.44,cloudy,16,Tuesday,True
